first_name,middle_name,last_name,suffix,credential,prefix,name,t_CorporationNameBranchType,t_ProxyFor,t_OtherSurname,t_OtherCorporationName,t_SecondMiddleName,t_And,t_SecondNickname,t_CorporationName,t_SecondPrefixMarital,t_PrefixMarital,t_Surname,t_CorporationNameAndCompany,t_SecondMiddleInitial,t_CorporationNameOrganization,t_MiddleInitial,t_SecondGivenName,t_CorporationLegalType,t_SecondShortForm,t_CorporationCommitteeType,t_Nickname,t_SecondCorporationName,t_FirstInitial,t_MiddleName,t_SecondSuffixOther,t_ShortForm,t_OtherCorporationNameOrganizati,t_SecondFirstInitial,t_SecondCorporationNameAndCompan,t_SecondCorporationCommitteeType,t_SecondCorporationNameBranchIde,t_SuffixOther,t_SuffixGenerational,t_GivenName,t_LastInitial,t_OtherSuffixOther,t_CorporationNameBranchIdentifie,t_OtherCorporationCommitteeType,t_SecondCorporationNameOrganizat,t_SecondCorporationNameBranchTyp,t_SecondSurname,t_PrefixOther,t_SecondSuffixGenerational,t_SecondPrefixOther,t_AKA,tag_type,error_found_second_entity,error_surname,error_tag_type,error_any
ASHER,I,KUPPERMAN,,,Mr.,Mr ASHER I KUPPERMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
VIKTORIYA,,KHOMENKO,,,Ms.,Ms VIKTORIYA KHOMENKO,,,,,,,,Ms VIKTORIYA KHOMENKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
KELLY,J,SMIDEBUSH,,,Ms.,Ms KELLY J SMIDEBUSH,,,,,,,,Ms KELLY J SMIDEBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
FRITZ-JOSE,EDWARD,CHANDLER,,M.D.,Dr.,Dr FRITZ-JOSE EDWARD CHANDLER MD,,,,,,,,Dr FRITZ-JOSE EDWARD CHANDLER MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
GILBERT,,ACEVEDO ACOSTA,,,Dr.,Dr. GILBERT ACEVEDO ACOSTA,,,,,,,,,,,ACOSTA,,,,,,,,,,,,ACEVEDO,,,,,,,,,,GILBERT,,,,,,,,Dr.,,,,Person,False,True,False,True
SHANNON,R,BARNETT,,M.D.,Miss,"Miss SHANNON R BARNETT, M.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
LINDSEY,ERIN,NELL,,,Ms.,Ms LINDSEY ERIN NELL,,,,,,,,Ms LINDSEY ERIN NELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
KALMON,,POST,,M.D.,Mr.,"Mr. KALMON POST, M.D.",,,,,,,,,,Mr.,KALMON POST,,,,,,,,,,,,,,,,,,,,M.D.,,,,,,,,,,,,,,Person,False,True,False,True
AYYASAMY,PANNEER,SELVAM,,,Mr. & Mrs.,Mr and Mrs AYYASAMY PANNEER SELVAM,,,,,,and,,,,Mr,,,,,,,,,AYYASAMY,,,,,,,,,,PANNEER SELVAM,,,,,,,,,,,,,,,,Household,True,True,False,True
MUNA,SENUSSI,SUNNI,,,Miss,Miss MUNA SENUSSI SUNNI,,,,,,,,Miss MUNA SENUSSI SUNNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
ALEFIYA,I,AL QAMARI,,,Miss,Miss ALEFIYA I AL QAMARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
LEIGH ANNE,ANNE,DAGEFORDE,,,,LEIGH ANNE ANNE DAGEFORDE,,,,,,ANNE,,,,,DAGEFORDE,,,,,ANNE,,,,,,,,,,,,,,,,,LEIGH,,,,,,,,,,,,Household,True,False,False,True
SATRE,,STUELKE,,,Dr. & Mrs.,Dr & Mrs SATRE STUELKE,,,,,,,,Dr & Mrs SATRE STUELKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
ELIZABETH,,GRODANZ,,,Ms.,Ms ELIZABETH GRODANZ,,,,,,,,Ms ELIZABETH GRODANZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
MAURICIA,DORA,STANTON,,,,MAURICIA DORA STANTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
DANIEL,,ALLEY,,,Dr. & Mrs.,Dr. and Mrs. DANIEL ALLEY,,,,,,and,,,,Mrs.,DANIEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEY,Dr.,,,,Household,True,True,False,True
RANDI,JAMES,MCLEOD,,,,RANDI JAMES MCLEOD,,,,,,,,,,,JAMES MCLEOD,,,,,,,,,,,,,,,,,,,,,,RANDI,,,,,,,,,,,,Person,False,True,False,True
ZEPH,,OKEKE,,,Mr. & Mrs.,Mr. & Mrs. ZEPH OKEKE,,,,,,&,,,,Mr.,ZEPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKEKE,,,,,Household,True,True,False,True
PETAR,,JAMBORCIC,,,Mr.,Mr PETAR JAMBORCIC,,,,,,,,Mr PETAR JAMBORCIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
BEVIN,PATRICIA,WEEKS,,M.D.,Dr.,Dr BEVIN PATRICIA WEEKS MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
ELHAN,,SULEY,,,,ELHAN SULEY,,,,,,,,ELHAN SULEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
DMITRIY,,BUYANOV,,M.D.,Mr. & Mrs.,"Mr. & Mrs. DMITRIY BUYANOV, M.D.",,,,,,&,,,,Mr.,,,,,,,,,,,,,,"BUYANOV, M.D.",,,,,,,DMITRIY,,,,,,,,,,,,,,Household,True,True,False,True
BALJIT,SINGH,SAPPAL,,,Mr. & Mrs.,Mr & Mrs BALJIT SINGH SAPPAL,,,,,,,,Mr & Mrs BALJIT SINGH SAPPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
R BRUCE,,CATANDO,,,,R BRUCE CATANDO,,,,,,,,R BRUCE CATANDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
JACQUES,S,VAN RYN,,,Mr. & Mrs.,Mr. and Mrs. JACQUES S VAN RYN,,,,,,and,,,,Mr.,VAN,,,,S,,,,,,,,,,,,,,,,,,JACQUES,,,,,,,RYN,,,,,Household,True,True,False,True
RAJA,B,NAIDU,,,Mr. & Mrs.,Mr and Mrs RAJA B NAIDU,,,,,,and,,,,Mr,RAJA,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,NAIDU,,,,,Household,True,True,False,True
MARGARET,GIBSON,PARKER,,,Ms.,Ms MARGARET GIBSON PARKER,,,,,,,,Ms MARGARET GIBSON PARKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
KAIRA,TAZABEKOVA,KAPLINSKY,,,Ms.,Ms KAIRA TAZABEKOVA KAPLINSKY,,,,,,,,Ms KAIRA TAZABEKOVA KAPLINSKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
ALI,HASSAN ALI,WARDA,,,Mr. & Mrs.,Mr. and Mrs. ALI HASSAN ALI WARDA,,,,,,and,,,,Mr.,ALI,,,,,,,,,,,,HASSAN,,,,,,,,,,ALI,,,,,,,WARDA,,,,,Household,True,True,False,True
NEEL,,KHANNA,,,Dr.,Dr. NEEL KHANNA,,,,,,,,,,,NEEL KHANNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr.,,,,Person,False,True,False,True
DANA,J,MILLER-BLAIR,,,Ms.,Ms DANA J MILLER-BLAIR,,,,,,,,Ms DANA J MILLER-BLAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
RAFAEL,,RIVERA COLON,,,,RAFAEL RIVERA COLON,,,,,,,,,,,COLON,,,,,,,,,,,,RIVERA,,,,,,,,,,RAFAEL,,,,,,,,,,,,Person,False,True,False,True
STANLEY,WYE YAN,LIM,,,Dr. & Mrs.,Dr. & Mrs. STANLEY WYE YAN LIM,,,,,,,,Dr. & Mrs. STANLEY WYE YAN LIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
SALAH,ALDIN,ALMOUKAMAL,,M.D.,Mr.,Mr. SALAH ALDIN ALMOUKAMAL M.D.,,,,,,,,,,Mr.,ALDIN,,,,,,,,,,,,SALAH,,,,,,,,M.D.,,ALMOUKAMAL,,,,,,,,,,,,Person,False,True,False,True
THOMAS,JAMES,KROLICK,,,,THOMAS JAMES KROLICK,,,,,,,,,,,JAMES KROLICK,,,,,,,,,,,,,,,,,,,,,,THOMAS,,,,,,,,,,,,Person,False,True,False,True
DAVID,,SUSTARSIC,,M.D.,Mr. & Mrs.,"Mr and Mrs DAVID SUSTARSIC, MD",,,,,,and,,,,Mr,DAVID,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,SUSTARSIC,,,,,Household,True,True,False,True
NIALL,MERCER,HENEY,,,Dr.,Dr. NIALL MERCER HENEY,,,,,,,,,,,MERCER HENEY,,,,,,,,,,,,,,,,,,,,,,NIALL,,,,,,,,Dr.,,,,Person,False,True,False,True
HUY,BAO,VINH,,,Mr.,Mr. HUY BAO VINH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
GURBIR,,CHHABRA,,,Dr. & Mrs.,Dr and Mrs GURBIR CHHABRA,,,,,,and,,,,Mrs,GURBIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHHABRA,Dr,,,,Household,True,True,False,True
UMAIR,,YOUSUFI,,,Mr. & Mrs.,Mr & Mrs UMAIR YOUSUFI,,,,,,,,Mr & Mrs UMAIR YOUSUFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
JEANNE,DURHAM,TRUITT,,,Miss,Miss JEANNE DURHAM TRUITT,,,,,,,,,,,DURHAM TRUITT,,,,,,,,,,,,JEANNE,,,,,,,,,,Miss,,,,,,,,,,,,Person,False,True,False,True
SANATKUMAR,CHETAN,SHROFF,,,,SANATKUMAR CHETAN SHROFF,,,,,,,,SANATKUMAR CHETAN SHROFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
IGOR,,MIKITYANSKY,,,,IGOR MIKITYANSKY,,,,,,,,IGOR MIKITYANSKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
JAMES,DARRELL,KING,,,Dr. & Mrs.,Dr & Mrs JAMES DARRELL KING,,,,,,&,,,,Mrs,JAMES,,,,,,,,,,,,,,,,,,,,,,DARRELL,,,,,,,KING,Dr,,,,Household,True,True,False,True
KI YOUNG,L,PORTILLO,,,,KI YOUNG L PORTILLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
MONINA,FARRAH RAMOS,PASCUA,,,,MONINA FARRAH RAMOS PASCUA,,,,,,,,MONINA FARRAH RAMOS PASCUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
HAMEED,,AHMAD,,,Dr. & Mrs.,Dr & Mrs HAMEED AHMAD,,,,,,&,,,,Mrs,HAMEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHMAD,Dr,,,,Household,True,True,False,True
CHENEL,,MICHEL,,,Mr.,Mr. CHENEL MICHEL,,,,,,,,Mr. CHENEL MICHEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
SIVA,PRASAD,PARCHA,,,Dr.,Dr SIVA PRASAD PARCHA,,,,,,,,Dr SIVA PRASAD PARCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
LINDSAY,H,CHAMBERS,,,Miss,Miss LINDSAY H CHAMBERS,,,,,,,,Miss LINDSAY H CHAMBERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
HYE RI,,KIM,,,Miss,Miss HYE RI KIM,,,,,,,,,,,RI KIM,,,,,,,,,,,,HYE,,,,,,,,,,Miss,,,,,,,,,,,,Person,False,True,False,True
SRINATH,REDDY,KOSANAM,,M.D.,Dr. & Mrs.,"Dr & Mrs SRINATH REDDY KOSANAM, MD",,,,,,&,,,,Mrs,SRINATH,,,,,,,,,,,,,,,,,,,,MD,,REDDY,,,,,,,KOSANAM,Dr,,,,Household,True,True,False,True
FUN,H,FONG,JR.,,Dr. & Mrs.,Dr. & Mrs. FUN H FONG JR.,,,,,,&,,,,Mrs.,FUN,,,,,,,,,,,H,,,,,,,,,,JR.,,,,,,,,FONG,Dr.,,,,Household,True,True,False,True
RYAN,JENNINGS,KUEKER,,,Mr. & Mrs.,Mr. and Mrs. RYAN JENNINGS KUEKER,,,,,,and,,,,Mr.,JENNINGS,,,,,,,,,,,,,,,,,,,,,,RYAN,,,,,,,KUEKER,,,,,Household,True,True,False,True
MUJDA,,ZHUBLAWAR,,,Ms.,Ms. MUJDA ZHUBLAWAR,,,,,,,,Ms. MUJDA ZHUBLAWAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
GARRICK,,BASKERVILLE,,,Dr. & Mrs.,Dr. and Mrs. GARRICK BASKERVILLE,,,,,,and,,,,Mrs.,GARRICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASKERVILLE,Dr.,,,,Household,True,True,False,True
DOROTHY,FERGUSON,SCIFRES,,,Ms.,Ms DOROTHY FERGUSON SCIFRES,,,,,,,,Ms DOROTHY FERGUSON SCIFRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
ARIAN,,BRANTLEY,,,Ms.,Ms. ARIAN BRANTLEY,,,,,,,,Ms. ARIAN BRANTLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
ZARAH-ANN,,ALBA,,,Dr.,Dr. ZARAH-ANN ALBA,,,,,,,,,,,ZARAH-ANN,,,,,,,,,,,,,,,,,,,,,,ALBA,,,,,,,,Dr.,,,,Person,False,True,False,True
JOSHUA,DANIEL,UY,,M.D.,,"JOSHUA DANIEL UY, M.D.",,,,,,,,,,,DANIEL UY,,,,,,,,,,,,,,,,,,,,M.D.,,JOSHUA,,,,,,,,,,,,Person,False,True,False,True
PRAGYA,,TIWARI SHARMA,,,Ms.,Ms. PRAGYA TIWARI SHARMA,,,,,,,,Ms. PRAGYA TIWARI SHARMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
LINDI,L,MAGNUSON,,,Ms.,Ms. LINDI L MAGNUSON,,,,,,,,Ms. LINDI L MAGNUSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
DURGA,KATEEL,PAI,,,Miss,Miss DURGA KATEEL PAI,,,,,,,,Miss DURGA KATEEL PAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
TAMARA,,LAZIC STRUGAR,,,,TAMARA LAZIC STRUGAR,,,,,,,,TAMARA LAZIC STRUGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
RICHARD,,AMANKWAH,,,Dr. & Mrs.,Dr & Mrs RICHARD AMANKWAH,,,,,,&,,,,Mrs,RICHARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMANKWAH,Dr,,,,Household,True,True,False,True
LISA,J,ALEXANDER NWOKOLO,,,Mrs.,Mrs LISA J ALEXANDER NWOKOLO,,,,,,J,,,,Mrs,NWOKOLO,,,,,ALEXANDER,,,,,,,,,,,,,,,,,LISA,,,,,,,,,,,,Household,True,True,False,True
SAI,KARTEEK,MEDI,,,Mr. & Mrs.,Mr. & Mrs. SAI KARTEEK MEDI,,,,,,,,Mr. & Mrs. SAI KARTEEK MEDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
RYAN,E,SCHODORF,,,Miss,Miss RYAN E SCHODORF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
HIMADRI,,PATEL,,,Ms.,Ms HIMADRI PATEL,,,,,,,,Ms HIMADRI PATEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
MARY,ANN,MEISMER,,,Miss,Miss MARY ANN MEISMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
ILEANA,,BASCUAS,,,Ms.,Ms ILEANA BASCUAS,,,,,,,,Ms ILEANA BASCUAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
MARIA SOCORRO,F,FLORES,,,Miss,Miss MARIA SOCORRO F FLORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
FAUZIA,,PARACHA,,M.D.,Mrs.,"Mrs FAUZIA PARACHA, MD",,,,,,,,,,Mrs,FAUZIA PARACHA,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,Person,False,True,False,True
JORDAN,D,VIX,,,Miss,Miss JORDAN D VIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
CHRISTINE,MARSCH,OMALLEY,,M.D.,,"CHRISTINE MARSCH OMALLEY, M.D.",,,,,,,,,,,MARSCH OMALLEY,,,,,,,,,,,,,,,,,,,,M.D.,,CHRISTINE,,,,,,,,,,,,Person,False,True,False,True
TIMOTHY,JAMES,SENEKER,,,Mr. & Mrs.,Mr and Mrs TIMOTHY JAMES SENEKER,,,,,,and,,,,Mr,JAMES,,,,,,,,,,,,,,,,,,,,,,TIMOTHY,,,,,,,SENEKER,,,,,Household,True,True,False,True
LUIZA,,BALABANYAN,,,Ms.,Ms. LUIZA BALABANYAN,,,,,,,,Ms. LUIZA BALABANYAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
STEPHEN,JAMES,LEE,,,,STEPHEN JAMES LEE,,,,,,,,,,,JAMES LEE,,,,,,,,,,,,,,,,,,,,,,STEPHEN,,,,,,,,,,,,Person,False,True,False,True
JESSICA,FOWLER,RIDDLE,,,Miss,Miss JESSICA FOWLER RIDDLE,,,,,,,,,,,FOWLER RIDDLE,,,,,,,,,,,,JESSICA,,,,,,,,,,Miss,,,,,,,,,,,,Person,False,True,False,True
ALEX,,RUIZ CORTEZ,,,Dr.,Dr. ALEX RUIZ CORTEZ,,,,,,,,,,,CORTEZ,,,,,,,,,,,,RUIZ,,,,,,,,,,ALEX,,,,,,,,Dr.,,,,Person,False,True,False,True
VAUGHN,,NELSON,,,Dr.,Dr VAUGHN NELSON,,,,,,,,,,,VAUGHN NELSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr,,,,Person,False,True,False,True
CESAR R,,LEROUX PEGUERO,,,Mr. & Mrs.,Mr. and Mrs. CESAR R LEROUX PEGUERO,,,,,,and,,,,Mr.,LEROUX,,,,R,,,,,,,,,,,,,,,,,,CESAR,,,,,,,PEGUERO,,,,,Household,True,True,False,True
ANDREW,GRAHAM,SAHUD,,M.D.,Dr. & Mrs.,"Dr. & Mrs. ANDREW GRAHAM SAHUD, M.D.",,,,,,&,,,,Mrs.,GRAHAM,,,,,,,,,,,,,M.D.,,,,,,,SAHUD,,ANDREW,,,,,,,,Dr.,,,,Household,True,True,False,True
KATHRYN,KATAYOUN,NAJAFI TAGOL,,M.D.,Miss,"Miss KATHRYN KATAYOUN NAJAFI TAGOL, M.D.",,,,,,,,,,,NAJAFI,,,,,,,,,,,,KATAYOUN,,,,,,,,"TAGOL, M.D.",,Miss KATHRYN,,,,,,,,,,,,Person,False,True,False,True
RATNA,KUMAR,PALAKODETI,,,Mr.,Mr. RATNA KUMAR PALAKODETI,,,,PALAKODETI,,,,KUMAR,,Mr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RATNA,Corporation,False,True,True,True
GHARANAI,A,PAYIND,,,Mr. & Mrs.,Mr. and Mrs. GHARANAI A PAYIND,,,,,,and,,,,Mr.,,,,,,,,,GHARANAI,,,,,,,,,,A PAYIND,,,,,,,,,,,,,,,,Household,True,True,False,True
HUSSEIN,A,HANFI,,,Dr. & Mrs.,Dr & Mrs HUSSEIN A HANFI,,,,,,,,Dr & Mrs HUSSEIN A HANFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
TERESA,MARY,TRYGSTAD,,,,TERESA MARY TRYGSTAD,,,,,,,,TERESA MARY TRYGSTAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
TODD,ERIC,KERNER,,,Dr.,Dr TODD ERIC KERNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
CELESTE,CRNA,FLEMING,,,,CELESTE CRNA FLEMING,,,,,,,,CELESTE CRNA FLEMING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
PATRICK,,MORRISSEY,,,Mr. & Mrs.,Mr and Mrs PATRICK MORRISSEY,,,,,,and,,,,Mr,PATRICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORRISSEY,,,,,Household,True,True,False,True
SARA,I,TAVERAS ALAM,,,Miss,Miss SARA I TAVERAS ALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
JOHN RYAN,G,MCANNALLY,,,,JOHN RYAN G MCANNALLY,,,,,,,,JOHN RYAN G MCANNALLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
SANCHITA,,MANDAL,,M.D.,Ms.,"Ms SANCHITA MANDAL, MD",,,,,,,,Ms SANCHITA,,,MANDAL,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,Corporation,False,False,True,True
SHEILA,,HAJI ALI AHMADI,,,Miss,Miss SHEILA HAJI ALI AHMADI,,,,,,,,,,,ALI AHMADI,,,,,,,,,,,,HAJI,,,,,,,,,,Miss SHEILA,,,,,,,,,,,,Person,False,True,False,True
NANCYE,J,SCHENK,,,Ms.,Ms. NANCYE J SCHENK,,,,,,,,Ms. NANCYE J SCHENK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
HICHAM,,EL MASRY,,,Dr.,Dr. HICHAM EL MASRY,,,,,,,,Dr. HICHAM EL MASRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
NEMA,DAVID,AYADPOOR,,,,NEMA DAVID AYADPOOR,,,,,,,,NEMA DAVID AYADPOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
DIMITRI,,BAGROV,,,Dr.,Dr. DIMITRI BAGROV,,,,,,,,Dr. DIMITRI BAGROV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
RADHIKA,C,RAO,,,Miss,Miss RADHIKA C RAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
WILLIAM,,COLE,,,,WILLIAM COLE,,,,,,,,WILLIAM COLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
SURYAKANT,,PATEL,,,Mr.,Mr SURYAKANT PATEL,,,,,,,,Mr SURYAKANT PATEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
CYNTHIA,E,KALLET,,,Miss,Miss CYNTHIA E KALLET,,,,,,,,CYNTHIA E KALLET,,,,,,,,,,,,,,,,,,,,,,,,,Miss,,,,,,,,,,,,Corporation,False,True,True,True
TUSHAR,UMAKANT,GAJJAR,,,Mr. & Mrs.,Mr. and Mrs. TUSHAR UMAKANT GAJJAR,,,,,,and,,,,Mr.,TUSHAR,,,,,,,,,,,,,,,,,,,,,,UMAKANT,,,,,,,GAJJAR,,,,,Household,True,True,False,True
RICHARD,JAMES,STORK,,M.D.,Mr. & Mrs.,"Mr & Mrs RICHARD JAMES STORK, MD",,,,,,&,,,,Mr,JAMES,,,,,,,,,,,,,,,,,,,,MD,,RICHARD,,,,,,,STORK,,,,,Household,True,True,False,True
TZE-SEUN,,YONG,,M.D.,Dr.,Dr. TZE-SEUN YONG M.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.D.,,YONG,,,,,,,,Dr. TZE-SEU,,,,Person,False,True,False,True
ZORN,,COLEMAN,,,,ZORN COLEMAN,,,,,,,,ZORN COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
MARTIA,LEA,CREIGHTON THIGPEN,,,Mrs.,Mrs MARTIA LEA CREIGHTON THIGPEN,,,,,,,,Mrs MARTIA LEA CREIGHTON THIGPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
KARLA,LEA,MAHARJAN,,,Mrs.,Mrs KARLA LEA MAHARJAN,,,,,,,,LEA MAHARJAN,,Mrs,,,,,,,,,,,,,,,,,,,,,,,KARLA,,,,,,,,,,,,Corporation,False,True,True,True
LISA ANN,,JACKSON,,,Miss,Miss LISA ANN JACKSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
NICOLE,ALISON,FIGEL,,,Miss,Miss NICOLE ALISON FIGEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RepeatedLabelError,False,True,True,True
SEMYON,,FAYNBOYM,,,Mr.,Mr SEMYON FAYNBOYM,,,,,,,,Mr SEMYON FAYNBOYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
SUBASH,BABU,DUGGIRALA,,,Dr. & Mrs.,Dr and Mrs SUBASH BABU DUGGIRALA,,,,,,and,,,,Mrs,BABU,,,,,,,,,,,,SUBASH,,,,,,,,,,,,,,,,,DUGGIRALA,Dr,,,,Household,True,True,False,True
EPIFANIO,,MILITAR,,M.D.,Mr. & Mrs.,Mr & Mrs EPIFANIO MILITAR MD,,,,,,&,,,,Mr,EPIFANIO,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,MILITAR,,,,,Household,True,True,False,True
SUBHASH,,SAHAI,,M.D.,Mr.,Mr SUBHASH SAHAI MD,,,,,,,,Mr SUBHASH SAHAI MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporation,False,True,True,True
